Sub,Type,RT1,RT2,RT3,RT4,AnsSpeed
1,2,0.405287779,0.383827217,0.39804505,0.383756222,1.498128191
1,1,0.42638564,0.404210285,0.496859704,0.406138936,1.780106202
1,3,0.434467438,0.385874101,0.375530599,0.368551693,0.884519487
2,2,0.624088766,0.690756077,1.008775503,0.636602328,2.03392233
2,1,0.567196217,0.719925366,0.685193116,0.86861327,1.919985457
2,3,0.546958761,0.619906554,0.594220444,0.527503166,1.04915637
4,2,0.731065005,0.718506378,0.989398016,0.950479557,2.71170209
4,1,0.761049225,0.799067454,1.003514747,0.877681104,2.7656254
4,3,0.733810894,0.635183784,0.581057847,0.547044088,1.448354759
5,2,0.490662204,0.644933991,0.987974719,0.906032084,4.868330019
5,1,0.608114146,0.670172394,0.67016737,0.597324672,4.380812604
5,3,0.572036148,0.575453982,0.54003487,0.496303355,1.685201817
6,2,0.6519339,0.66712551,0.962538806,0.794446208,2.730885152
6,1,0.658020312,0.644406581,0.697384606,1.006586212,2.515654844
6,3,0.687280185,0.674769682,0.755307258,0.685891476,1.422727876
7,2,0.506525603,0.427711215,0.457992128,0.60048574,3.861019089
7,1,0.504157909,0.456014986,0.582016624,0.665246429,2.915329695
7,3,0.473420469,0.41851198,0.412996304,0.413653414,2.033912247
8,2,0.581916143,0.548599538,0.519022515,0.544953111,2.99128147
8,1,0.542145671,0.508844515,0.544951806,0.585159617,2.608879429
8,3,0.520207425,0.526201398,0.498978188,0.513312534,1.316357843
9,2,0.537118245,0.567148433,0.619063738,0.802379202,2.083040904
9,1,0.553699724,0.589273097,0.590635823,0.649154686,1.692418068
9,3,0.544578375,0.527671881,0.50442433,0.501821103,1.165761321
10,2,0.903177365,1.039395457,1.003331454,0.936709372,2.558945671
10,1,0.886469107,1.315656902,1.298544605,1.197687107,2.269734192
10,3,0.915923588,0.923272652,0.954737854,0.880156406,1.651771058
11,2,0.402144291,0.395504935,0.438788645,0.795562486,2.925522682
11,1,0.504899746,0.586831675,0.473234946,0.561040778,3.729307703
11,3,0.415754861,0.37372948,0.398320242,0.365591317,1.826663708
12,2,0.571652983,0.729253051,0.844408066,0.812612682,2.43378399
12,1,0.606665308,0.742949963,0.794805735,0.721642803,2.593053228
12,3,0.619314246,0.615717811,0.63381307,0.637398933,1.575155111
13,2,0.721492446,0.903616867,1.142971056,0.941425782,3.868737099
13,1,0.773697885,0.937281014,1.062182746,1.562206548,3.198848573
13,3,0.614112444,0.657308363,0.729259457,0.619467977,2.741462692
14,2,0.573346782,0.540119951,0.681750759,0.742097212,2.900436887
14,1,0.537163266,0.55541447,0.615502424,0.788812803,3.010450434
14,3,0.613523937,0.572261827,0.591104326,0.63382335,2.259299913
15,2,0.524046879,0.635245411,0.668496634,0.926866092,1.992132705
15,1,0.512988554,0.575465479,0.667117218,0.893529838,1.93112003
15,3,0.500458068,0.562217653,0.560806082,0.556073452,0.940031057
16,2,0.633905073,0.68108661,0.815729203,0.74768935,3.197916478
16,1,0.651914197,0.821403478,0.783767168,0.89215052,3.047669324
16,3,0.646862668,0.704862063,0.641772815,0.649000336,1.750476018
17,2,0.362924588,0.454575571,0.892123284,0.65324868,2.160245036
17,1,0.376389835,0.500509632,0.59433653,0.75972182,2.332302957
17,3,0.4247583,0.430340389,0.390669658,0.408143281,1.240040439
18,2,0.461542389,0.411553402,0.407291602,0.531072643,2.001883881
18,1,0.414251413,0.386692129,0.446347722,0.519850078,1.793637323
18,3,0.414720545,0.390138723,0.360703621,0.400501698,1.183810706
19,2,0.604637793,0.62824764,0.889396161,0.91715248,1.232456921
19,1,0.543767728,0.443743492,0.832206958,0.675817347,1.017153105
19,3,0.470563858,0.558074354,0.46787055,0.450497583,0.721951465
20,2,0.61987861,0.6532297,0.598880691,0.564463206,1.547698008
20,1,0.653472952,0.609534313,0.564156058,0.78394668,2.144457214
20,3,0.685189909,0.618534193,0.539350244,0.512288616,1.17134818
21,2,0.404589906,0.501852336,0.635090513,0.949031425,1.431154997
21,1,0.492910221,0.486855961,0.668780182,0.659601349,1.488389272
21,3,0.43935625,0.475498146,0.494858495,0.449774323,0.782406633
22,2,0.483805516,0.515799096,0.542078962,0.67681106,2.063070006
22,1,0.460220866,0.450515313,0.610166906,0.642113744,1.72411141
22,3,0.472306301,0.483130069,0.422205313,0.457000667,1.444730059
23,2,0.331974629,0.435681353,0.552282061,0.389327697,1.32460897
23,1,0.344882823,0.359812954,0.700529578,0.591227163,1.241248422
23,3,0.324783714,0.37063534,0.393513128,0.337308017,0.946317361
24,2,0.483846469,0.467088607,0.488737093,0.493805543,1.182119447
24,1,0.471349025,0.454662148,0.444908438,0.478291468,1.051830895
24,3,0.486698204,0.486094971,0.464997053,0.468559507,0.797602871
26,2,0.570138333,0.727855707,0.715648614,0.748901449,1.668692624
26,1,0.74745523,0.77932669,0.85045479,0.90345431,1.8505323
26,3,0.552025218,0.770608979,0.705339258,0.64345803,1.401155559
27,2,0.42468579,0.427765113,0.488392824,0.518695914,2.900549062
27,1,0.335491624,0.405521008,0.572222424,0.483818522,1.528773401
27,3,0.355302008,0.392166934,0.312975798,0.310884502,0.927694433
